ID_Contrato,Nome_Assessoria,Data_Envio_Assessoria,Dias_Em_Atraso_Inicial,Valor_Inadimplente_Inicial,Status_Cobranca,Score_Interno_Risco,Regiao_Cliente
CONTR_2026_00001,Vértice Asset & Cobrança,2026-02-24,49,"R$ 25.007,89",Acordo Firmado,39.0,Sudeste
CONTR_2026_00002,Vértice Asset & Cobrança ,2026-04-06,38,"R$ 8.448,59",Acordo Firmado,3.0,Sudeste
CONTR_2026_00003,Acerta Crédito Integrado,2026-02-05,152,"R$ 1.951,40",Insucesso,,Sudeste
CONTR_2026_00004,Nexus Mediação Financeira,2026-04-24,84,4295.12,Em Aberto,68.0,Centro-Oeste
CONTR_2026_00005,Fênix Recuperação de Crédito,2026-02-06,52,4700.91,Acordo Firmado,30.0,Sudeste
CONTR_2026_00006,Fênix Recuperação de Crédito,2026-04-22,73,3017.85,Em Aberto,67.0,NORDESTE
CONTR_2026_00007,Fênix Recuperação de Crédito,2026-01-14,91,"R$ 2.097,28",Em Aberto,68.0,Sul
CONTR_2026_00008,Acerta Crédito Integrado,2026-01-27,78,"R$ 7.419,47",Ajuizado,58.0,Centro-Oeste
CONTR_2026_00009,Nexus Mediação Financeira,2026-03-24,51,"R$ 2.825,15",Em Aberto,77.0,Nordeste
CONTR_2026_00010,Acerta Crédito Integrado,2026-01-31,63,"R$ 6.099,55",Acordo Firmado,53.0,Nordeste
CONTR_2026_00011,Fênix Recuperação de Crédito,2026-04-20,125,"R$ 3.147,39",Em Aberto,14.0,Sudeste
CONTR_2026_00012,Vértice Asset & Cobrança ,2026-03-14,47,"R$ 4.728,49",Em Aberto,10.0,Nordeste
CONTR_2026_00013,Acerta Crédito Integrado,2026-04-12,30,"R$ 3.255,30",Em Aberto,78.0,Nordeste
CONTR_2026_00014,Fênix Recuperação de Crédito,2026-03-22,78,"R$ 3.853,09",Acordo Firmado,81.0,Nordeste
CONTR_2026_00015,Fênix Recuperação de Crédito,2026-03-24,32,"R$ 7.785,08",Insucesso,22.0,Nordeste
CONTR_2026_00016,Fênix Recuperação de Crédito,2026-02-13,62,"R$ 11.963,28",Acordo Firmado,,Sudeste
CONTR_2026_00017,Vértice Asset & Cobrança,2026-03-09,52,"R$ 4.753,97",Insucesso,61.0,Norte
CONTR_2026_00018,Nexus Mediação Financeira,2026-02-17,52,"R$ 5.911,26",Acordo Firmado,46.0,Sudeste
CONTR_2026_00019,Vértice Asset & Cobrança,2026-02-26,92,"R$ 11.190,59",Acordo Firmado,37.0,Sudeste
CONTR_2026_00020,Vértice Asset & Cobrança,2026-03-16,97,"R$ 1.972,88",Insucesso,21.0,Sul
CONTR_2026_00021,Nexus Mediação Financeira,2026-01-22,65,"R$ 2.084,87",Em Aberto,89.0,Sudeste
CONTR_2026_00022,Fênix Recuperação de Crédito,2026-01-04,87,"R$ 3.425,48",Acordo Firmado,3.0,Sudeste
CONTR_2026_00023,Vértice Asset & Cobrança,2026-03-22,64,"R$ 3.048,57",Acordo Firmado,19.0,Nordeste
CONTR_2026_00024,Vértice Asset & Cobrança,2026-03-13,102,"R$ 22.678,77",Em Aberto,32.0,Centro-Oeste
CONTR_2026_00025,Vértice Asset & Cobrança,2026-02-15,45,"R$ 5.351,62",Em Aberto,79.0,Sudeste
CONTR_2026_00026,Acerta Crédito Integrado,2026-02-28,94,"R$ 4.910,71",Acordo Firmado,24.0,Sudeste
CONTR_2026_00027,Fênix Recuperação de Crédito,2026-02-03,97,"R$ 5.522,27",Acordo Firmado,73.0,Sudeste
CONTR_2026_00028,Nexus Mediação Financeira,2026-01-11,160,"R$ 11.603,39",Em Aberto,74.0,Sul
CONTR_2026_00029,Nexus Mediação Financeira,2026-01-31,37,"R$ 2.595,58",Acordo Firmado,,Nordeste
CONTR_2026_00030,Fênix Recuperação de Crédito,2026-01-11,169,"R$ 4.776,63",Em Aberto,96.0,Sudeste
